#https://www.kanjidatabase.com/kanji_show_selected.php
#id;Kanji;"Reading within Joyo";"Translation of On";"Translation of Kun";"Kanji Frequency with Proper Nouns";"Kanji Frequency without Proper Nouns"
1;亜;ア;"rank next, come after, Asia, sub-, -ous (in acids)";-;13829;1457
2;哀;アイ、あわ-れ、あわ-れむ;"pity, have mercy on, sympathize with";"pity, have mercy on, sympathize with, grief, sorrow, misery; compassion, pathos";4792;4651
3;挨;アイ;"push open";-;324;324
4;愛;アイ;"love, affection, favorite";-;94602;50443
5;曖;アイ;"dark; not clear";-;214;214
6;悪;アク、オ、わる-い;"evil, wrong, vice, wickedness, lawlessness";"bad, evil, wrong; immoral; malicious; blamable; injurious; detrimental, malignant; be indisposed; inferior; homely; poor (memory); inclement; unlucy; out of order; unsavory";91570;91516
7;握;アク、にぎ-る;"grasp, hold; make (sushi balls); assume (power); make (money); get (proof)";"grasp, hold; make (sushi balls); assume (power); make (money); get (proof)";26582;26582
8;圧;アツ;"press, oppress, dominate, overwhelm";-;58313;58272
9;扱;あつか-う;-;"treat; entertain; manage, deal with, conduct, work on; handle; manipulate";22559;22559
10;宛;あ-てる;-;"address (a letter)";165;165
11;嵐;あらし;-;"storm, tempest";6337;2046
12;安;アン、やす-い;"be rested, feel at ease, be relieved, repose";"cheap, inexpensive; peaceful, quiet; gossipy, thoughtless";358754;276286
13;案;アン;"proposition, suggestion, plan, idea; opinion; expectation; bill, draft, measure; table";-;182072;182072
14;暗;アン、くら-い;dark;"dark, gloomy, somber; dim, faint; ignorant ";20182;20182
15;以;イ;"with, by, by means of; because; in view of";-;320232;319095
16;衣;イ、ころも;garment;"clothes, robe; dressing; frosting; coating";17482;14250
17;位;イ、くらい;"rank, place, grade";"grade, rank; court order, dignity, nobility; situation; throne, crown";268425;265390
18;囲;イ、かこ-む、かこ-う;enclosure;"enclose, surround, encircle; besiege; preserve, store; keep";58559;58559
19;医;イ;"medicine, the healing art; doctor";-;136879;130946
20;依;イ、[エ];"depend on";-;29057;25622
21;委;イ、ゆだ-ねる;"entrust to, discard";"entrust to, devote (oneself) to";200980;197575
22;威;イ;"dignity, majesty, authority";-;20554;19116
23;為;イ;"change; be of use; reach to";-;164942;164816
24;畏;イ、おそ-れる;"fear, be overawed, be apprehensive";"fear, be overawed, be apprehensive";503;503
25;胃;イ;"stomach; paunch, crop, craw";-;4658;4658
26;尉;イ;"jailer; old man; rank; company officer";-;1209;1195
27;異;イ、こと;"uncommonness, strangeness, queerness; difference";"differ, vary; be unusual";61359;61359
28;移;イ、うつ-る、うつ-す;"move, change, shift, pass into, drift; soak in; be infected, catch (a cold); catch fire, spread";"move, change, shift, pass into, drift; soak in; be infected, catch (a cold); catch fire, spread; transfer; pour into, divert(attention), give (a disease to someone)";102395;102232
29;萎;イ、な-える;"wither, droop, weaken; be paralyzed, be lame";"wither, droop, weaken; be paralyzed, be lame";889;889
30;偉;イ、えら-い;greatness;"great, famous, excellent, remarkable";6493;6492
31;椅;イ;chair;-;4614;4614
32;彙;イ;"same kind";-;256;256
33;意;イ;"mind, heart; care; liking, taste; inclination, will, intention; thought, idea; desire";-;352971;352894
34;違;イ、ちが-う、ちが-える;"differ, vary; disagree with; be mistaken; cross or pass (someone); No (negation)";"differ, vary; disagree with; be mistaken; cross or pass (someone); No (negation); change, alter, disguise; make a mistake; break (a promise); sprain, dislocate; cross (two sticks)";138810;138798
35;維;イ;"tie, rope";-;38011;37233
36;慰;イ、なぐさ-める、なぐさ-む;"amuse oneself; make sport of; seduce";"amuse oneself; make sport of; seduce; comfort, console, cheer";8249;8207
37;遺;イ、[ユイ];"leave behind; bequeath; save, reserve";-;86356;86349
38;緯;イ;"woof; horizontal; left and right; parallels of latitude; latitude";-;10135;10134
39;域;イキ;"region; limits; stage, level";-;98814;98804
40;育;イク、そだ-つ、そだ-てる、はぐく-む;"be raised, be brought up, grow, grow up";"be raised, be brought up, grow, grow up; raise, rear, bring up";152386;145588
41;一;イチ、イツ、ひと、ひと-つ;"one, a";"one, a unit; the same; just; once";1037182;848362
42;壱;イチ;one;-;649;225
43;逸;イツ;"idleness, leisure";-;13749;9754
44;茨;[いばら];"thorn, brier";"thorn, brier";22322;303
45;芋;いも;-;potato;1185;1099
46;引;イン、ひ-く、ひ-ける;"draw, pull, haul, tug, jerk, drag, trail, bend, attract; lead (horses or captives); draw (lines); admit; install (utilities); quote, refer to; look up (words); subtract, reduce; apply, daub on; blunt (a sword); patronize; choose; draw (a line); catch (a cold); retreat, withdraw, retire; subside";"draw, pull, haul, tug, jerk, drag, trail, bend, attract; lead (horses or captives); draw (lines); admit; install (utilities); quote, refer to; look up (words); subtract, reduce; apply, daub on; blunt (a sword); patronize; choose; draw (a line); catch (a cold); retreat, withdraw, retire; subside; close, be over; can discount; slink away";217815;217047
47;印;イン、しるし;"seal, stamp, mark";"sign, mark; symbol, emblem; badge; evidence; souvenir; token; brand, trademark; signs, indications; omen; seal";55714;48983
48;因;イン、よ-る;"cause, factor";"depend on, be limited to";72152;71737
49;咽;イン;"be choked, be smothered";-;462;462
50;姻;イン;marry;-;1079;1079
51;員;イン;"member; number; the one in charge";-;545063;544702
52;院;イン;"mansion; temple; palace; hospital; school; institution; congress; ex-emperor";-;309380;140029
53;淫;イン、みだ-ら;"lewdness, licentiousness";"licentious, indecent, lewd";195;195
54;陰;イン、かげ、かげ-る;"the yin principle; negative; melancholy; north side of a mountain; sex organs; secret; shadow; south side of a river; negative electrode; earth; bottom; back; inactivity; nighttime; moon";"darken; cloud up; be obscured; shade; back; (your) assistance";9803;9192
55;飲;イン、の-む;"drinking; feast";"drink, taste, take; swallow, devour; smoke; conceal (a weapon); accept (an idea); despise";33925;33924
56;隠;イン、かく-す、かく-れる;"hide, conceal, cover, veil, cloak, disguise";"hide, conceal, cover, veil, cloak, disguise; disappear; pass away; be anonymous; lurk";30520;29893
57;韻;イン;"rhyme; elegance; tone";-;1118;1118
58;右;ウ、ユウ、みぎ;"right, right hand";"right, right hand";118918;116443
59;宇;ウ;"eaves; roof; house; heaven";-;44514;21014
60;羽;ウ、は、はね;feather;"feather; plumage, wing; blade, paddle, fan";46076;11101
61;雨;ウ、あめ、[あま];"rain, fainfall";"rain, rainfall";27122;26169
62;唄;[うた];-;"songs accompanied by the samisen";2270;2052
63;鬱;ウツ;"gloom, depression, melancholy";-;595;595
64;畝;うね;-;"ridge (in a field), furrow, rib or cord (in cloth)";649;341
65;浦;うら;-;"creek, inlet; bay, gulf; beach, seacoast";49738;1767
66;運;ウン、はこ-ぶ;"destiny, fate, lot, fortune, luck";"transport, carry; progress, advance";168926;161376
67;雲;ウン、くも;cloud;cloud;12988;8889
68;永;エイ、なが-い;"long, lengthy";"long, lengthy";42048;8370
69;泳;エイ、およ-ぐ;"swim; totter; keep afloat, get along";"swim; totter; keep afloat, get along";18982;18408
70;英;エイ;"England, Britain; gifted person; wit";-;129557;25070
71;映;エイ、うつ-る、うつ-す、は-える;"reflecting; projection";"shine, be brilliant; look attractive; be reflected; match, harmonize, be becoming; be taken (a photo); copy, transcribe, duplicate, reproduce, trace; describe, picture, photograph";105302;103012
72;栄;エイ、さか-える、は-え、は-える;"prosperity, glory, splendor, honor";"prosper, flourish, thrive; glory; shine, be brilliant; look attractive";35458;20609
73;営;エイ、いとな-む;"camp, performing";"perform (ceremoies); build; conduct (business); follow (a profession), operate  (a store)";176041;174443
74;詠;エイ、よ-む;"poem; song; singing; composing";"recite, chant";2523;2294
75;影;エイ、かげ;shadow;"light; shadow; silhouette; phantom; reflection, figure, trace ";108002;106777
76;鋭;エイ、するど-い;"sharpness; edge; (sharp) weapon; picked men (soldiers), the pick";"pointed, sharp; violent, scathing; keen (sense); sharp (ear); penetrating (eye); shrewd";10826;10763
77;衛;エイ;protection;-;110244;57115
78;易;エキ、イ、やさ-しい;"easiness; divination, augury, fortunetelling";"easy, simple, light; habitual";33742;33592
79;疫;エキ、[ヤク];epidemic;-;7208;7206
80;益;エキ、[ヤク];"gain, benefit, profit, use, advantage";-;64941;62744
81;液;エキ;"liquid, fluid, juice, sap, secretion";-;16315;16262
82;駅;エキ;"post town; stage; station";-;57221;56554
83;悦;エツ;"joy, rapture, ecstasy, amusement";-;6261;505
84;越;エツ、こ-す、こ-える;"cross; pass; spend; tide over; outrun; exceed; surpass; move; go; come";"cross; pass; spend; tide over; outrun; exceed; surpass; move; go; come; go beyond; exceed; clear (an obstacle); overstep (authority)";78816;48679
85;謁;エツ;"audience (with a ruler)";-;141;141
86;閲;エツ;"inspection, revision";-;4936;4936
87;円;エン、まる-い;"circle; yen";"round, circular, spherical";500580;496542
88;延;エン、の-びる、の-べる、の-ばす;stretching;"extend, lengthen, stretch, spread; be postponed; increase; grow; progress, develop; be straightened, be flattened, be smoothed; be exhausted; let (nails) grow; straighten; uncoil; spread out; reach out; postpone; dilute; smooth out; develop (talents); amass (riches); make (a bed); widen";56177;53556
89;沿;エン、そ-う;"following along";"run along; lie along; be situated on";15270;15183
90;炎;エン、ほのお;inflammation;"flame, blaze";19466;19466
91;怨;エン、オン;"bear a grudge, show resentment; be jealous";-;513;513
92;宴;エン;"feast, banquet, party, entertainment";-;4440;4440
93;媛;エン;"princess; young lady of noble birth";-;8956;109
94;援;エン;"help, save";-;149374;149374
95;園;エン、その;"garden, yard, plantation, farm";"garden, park";101424;60982
96;煙;エン、けむ-る、けむり、けむ-い;smoke;"smoke, smolder, be smoky; smoky; fumes; spray";14608;14597
97;猿;エン、さる;monkey;"monkey, ape; minic; sly person; door bolt; fastener";3338;1757
98;遠;エン、[オン]、とお-い;"far, distant, remote; hard (of hearing)";"far, distant, remote; hard (of hearing)";45975;33942
99;鉛;エン、なまり;lead(metal);lead(metal);2950;2853
100;塩;エン、しお;salt;"salt, seasoning";21528;10204
101;演;エン;"perform, play, act, enact, render, stage, put on";-;155925;155906
102;縁;エン、ふち;"relation, connection, affinity, ties, bond; blood relation; karma relation; fate, destiny; chance; marriage; acquaintance; marriage alliance; veranda, balcony";"edge, verge, shore, side, brink, margin, brim, rim, flange, frill, frame, bank, fringe, border";12092;11956
103;艶;エン、つや;"luster, glaze, polish; charm";"gloss, luster, glaze, polish, brightness; charm, romance, love ";698;633
104;汚;オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い;"make dirty, stain, pollute, defile, contaminate; disgrace, dishonor; rape";"make dirty, stain, pollute, defile, contaminate; disgrace, dishonor; rape; get dirty; be defiled; be contaminated; filthy; unfair; soil; debauch; be stained, tarnish; dirty, filthy, unclean, soiled; shabby; indecent, obscene; base, sordid; stingy; foul";20199;20199
105;王;オウ;"king, rule, magnate, baron";-;95191;71024
106;凹;オウ;"hollow, sunken";-;482;482
107;央;オウ;middle;-;69884;45630
108;応;オウ、こた-える;"yes, all right";"respond, answer; be affected by (pain or stimulation); be effective";174232;167368
109;往;オウ;"let go; chase away";-;8776;8687
110;押;オウ、お-す、お-さえる;"push, shove; press, squash, compress; stamp, seal; do in spite of";"push, shove; press, squash, compress; stamp, seal; do in spite of; stop, check, restrain, pin down; suppress, subdue, control; catch, arrest; govern; stop (the ears); withhold; attach, seize; secure (evidence), estimate conservatively";53525;52263
111;旺;オウ;"flourishing, successful; beautiful; vigorous";-;1184;991
112;欧;オウ;Europe;-;81706;796
113;殴;オウ、なぐ-る;"hit, beat, thrash";"hit, beat, thrash";6653;6653
114;桜;オウ、さくら;"flowering cherry; cherry blossoms; pink color; horse meat";"flowering cherry; cherry blossoms; pink color; horse meat";20657;9681
115;翁;オウ;"old man, venerable";-;683;325
116;奥;オウ、おく;"heart, interior";"heart, interior";25414;12419
117;横;オウ、よこ;horizontal;"side, flank; horizontal direction; width, breadth, beam; woof";138234;45375
118;岡;[おか];-;"hill, knoll, rising ground";187113;2136
119;屋;オク、や;"house, roof";"shop, store; seller, dealer; business";118824;61444
120;億;オク;100,000,000;-;172259;172258
121;憶;オク;"think, remember";-;13656;13633
122;臆;オク;"timidity; breast, heart, mind";-;329;329
123;虞;おそれ;-;"fear; anxiety; concern; uneasiness";79;76
124;乙;オツ;"B, second; the latter; duplicate";-;2172;1348
125;俺;おれ;-;I;1599;1599
126;卸;おろ-す、おろし;-;"sell at wholesale; grated (vegetables); wholesale";4439;4434
127;音;オン、イン、おと、ね;"sound; noise; pronunciation; tone";"sound, noise, roar; fame; tone, note, voice, chirping";85993;81924
128;恩;オン;"kindness, goodness, favor, mercy, blessing, benefit";-;9650;7761
129;温;オン、あたた-か、あたた-かい、あたた-まる、あたた-める;"warm, heat";"warm, heat; warm oneself, sun oneself, get warm; mild, genial, cordial ";62533;58243
130;穏;オン、おだ-やか;"calm, quiet, peace; moderation";"calm, quiet, peace; moderation";6768;6757
131;下;カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる;"low class; inferiority; second, or last volume";"come down, go down; get down, descend; be given; be less than; have diarrhea; retire; leave the capital; give, confer; oblige, favor with; let down, lower; issue (orders); hand down (decisions); have diarrhea; lay (hands) on; step down; get off; swoop down; land; take down, pull down, lift down, drop; launch; let off (passengers); wear (for the first time); cause (abortion); grate; invoke; exercise; borrow (in subtraction); lock; hang down, dangle; fall; abate; wane; stand back; go behind; be granted; hang; wear (a decoration); reduce (rank); move back; let go, dismiss; remove; grant; draw (money), withdraw; lower part, bottom, base, foot; downstairs; subordinate place; below average; part payment; under, lower; sub-, subordinate; preliminary; the foot; lower stream; latter; lower part of the body; the masses, the servants; the governed; vicinity";390613;328608
132;化;カ、ケ、ば-ける、ば-かす;"influence; bewitch, enchant, confuse, delude";" bewitch, enchant, confuse, delude; appear in disguise";450696;439707
133;火;カ、ひ、[ほ];"fire, Tuesday";"fire, flame, blaze";78182;75741
134;加;カ、くわ-える、くわ-わる;"addition, increase";"join in; accede to; gain in (influence); increase; add, sum up; append; include; inflict";293767;246138
135;可;カ;"good, passable; approval; safe to say, ability to do";-;165873;165025
136;仮;カ、[ケ]、かり;"(Buddhist) vanity";"tempory, provisional; informal, unauthorized; fleeting; assumed (name); interim; acting; temporarily, provisionally; for example; for argument's sake; even for an instant; even as a joke";19971;19623
137;何;カ、なに、[なん];what;what;131255;131229
138;花;カ、はな;flower;"flower, blossom; cherry blossoms; essence, spirit, pride; pearl; youth; best days; beautiful woman, flower arrangement; flower-card game";69449;48962
139;佳;カ;"good, excellent, beautiful";-;16214;1945
140;価;カ、あたい;"price, cost, value, worth";"price, cost, value, worth";166907;164689
141;果;カ、は-たす、は-てる、は-て;"fruit, reward";"carry out, achieve, complete; realize, perform, fulfill; end, be finished, be exhausted; die, perish; limit, bounds, extremity, result; fate";183069;182852
142;河;カ、かわ;"river, stream";"river, stream";50828;12790
143;苛;カ;"torment, scold, chastise";-;260;260
